maths,phy,chem,mech,bee,workshop,cgpa,sgpa
76,55,61,91,76,43,9,9
63,55,53,76,51,42,7,7
60,26,34,42,50,43,6,6
86,40,56,73,75,43,8,8
56,46,58,61,65,42,7,7
46,40,52,81,69,45,7,7
73,60,70,76,89,44,9,9
57,36,35,65,61,43,7,7
81,39,64,90,90,42,9,9
68,56,37,79,52,44,7,7
48,27,42,50,28,42,4,4
84,46,62,84,68,43,9,9
91,58,57,84,69,42,9,9
38,37,47,78,84,42,7,7
78,43,45,73,81,43,8,8
48,34,47,79,56,43,7,7
74,44,52,65,85,43,8,8
81,45,51,66,86,43,8,8
86,45,43,66,84,45,8,8
60,37,60,60,63,42,7,7
20,9,12,17,19,42,2,2
84,60,59,60,81,43,9,9
72,10,34,48,49,42,6,6
52,49,45,44,38,37,5,5
84,55,62,75,63,42,9,9
56,30,47,35,29,42,4,4
57,36,46,56,55,42,7,7
92,51,55,88,76,42,9,9
75,26,35,80,60,43,7,7
63,39,42,50,31,42,6,6
34,35,25,52,51,42,5,5
61,31,37,74,65,42,7,7
76,36,38,66,62,43,7,7
32,30,44,49,25,43,4,4
64,55,56,75,66,42,8,8
75,37,37,55,51,43,7,7
80,49,56,59,56,42,7,7
56,44,60,82,73,43,8,8
92,64,52,51,91,43,9,9
100,58,60,77,94,42,9,9
74,51,40,61,56,33,6,6
61,34,32,79,51,42,7,7
82,58,65,100,71,43,9,9
36,33,37,28,42,42,4,4
86,54,61,70,75,43,9,9
31,25,37,66,52,45,5,5
21,5,11,14,16,42,2,2
55,35,42,66,58,42,7,7
63,35,44,67,46,42,7,7
96,66,63,61,76,43,9,9
81,47,61,70,56,43,8,8
74,44,61,92,57,42,8,8
77,49,63,85,87,42,9,9
57,47,41,56,54,42,7,7
68,63,58,81,79,44,9,9
87,52,54,91,74,44,9,9
63,48,53,60,71,43,8,8
63,68,66,93,87,42,9,9
90,54,56,76,71,43,9,9
85,58,62,85,81,45,9,9
85,53,50,80,53,42,8,8
62,40,41,64,72,46,7,7
49,34,41,66,62,42,7,7
51,47,38,43,23,43,5,5
55,46,38,74,48,43,7,7
92,53,61,92,91,44,9,9
84,40,48,55,88,44,8,8
64,41,47,52,52,42,7,7
70,47,59,80,82,44,9,9
74,64,58,93,83,43,9,9
65,50,52,48,67,43,7,7
36,36,40,64,52,44,6,6
57,51,50,83,67,44,8,8
75,42,43,95,62,42,8,8
48,64,57,90,72,42,8,8
63,37,54,70,47,42,7,7
80,49,51,61,72,43,8,8
28,38,37,48,43,42,4,4
63,45,63,67,79,42,8,8
77,56,58,91,85,42,9,9
70,54,43,78,81,43,8,8
69,58,51,77,64,42,8,8
50,46,34,54,45,42,6,6
48,24,34,31,53,43,4,4
65,47,50,74,57,43,7,7
51,52,63,73,71,44,8,8
62,41,37,73,48,42,7,7
67,45,50,75,66,42,8,8
63,57,55,68,66,42,8,8
53,34,40,60,39,43,6,6
